Saudi Arabia,Saudi+Arabia,SAU,56.09,55.95,60.61,62.94,65.72,67.39,70.39,67.85,59.14,69.62,62.21,66.6,64.48,64.06
Senegal,Senegal,SEN,62.2,63.05,63.51,57.17,56.38,58.07,64.83,53.11,55.27,65.31,59.4,63.55,60.06,60.17
Serbia,Serbia,SRB,35.35,34.69,33.28,31.47,31.88,34.44,30.95,29.08,28.55,28.19,25.58,26.64,26.07,25.5
Sierra Leone,Sierra+Leone,SLE,52.42,45.84,50.54,49.89,46.46,51.27,49.79,44.33,46.32,55.32,54.08,50.4,51.05,51.28
Singapore,Singapore,SGP,25.88,20.54,19.05,16.45,15.73,16.8,17.98,19.08,17.98,18.61,17.92,18.79,18.72,19
Slovak Republic,Slovakia,SVK,27.53,27.04,22.94,22.39,21.66,22.8,20.52,19.81,19.49,19.28,18.03,18.41,18.66,18.53
Slovenia,Slovenia,SVN,25.8,24.96,22.34,21.22,19.31,21.07,18.71,18.54,18.18,18.03,16.63,16.81,17.18,17.06
Somalia,Somalia,SOM,26.56,22.18,30.19,26.52,27.91,30.48,31.45,30.2,28.86,28.62,28.16,29.94,29.68,30.15
South Africa,South+Africa,ZAF,28.74,28.92,28.53,26.72,29.37,29.39,29.06,28.64,28.83,29.03,28.49,28.58,28.44,28.33
Spain,Spain,ESP,14,12.76,14.04,12.67,11.8,12.74,11.46,10.63,10.09,10.82,9.82,10.02,10.03,9.99
Sri Lanka,Sri+Lanka,LKA,22.83,21.66,24.24,24.08,24.66,21.56,22.41,23,20.95,18.93,20.75,19.91,19.69,19.96
Sudan,Sudan,SDN,50.33,44.45,51.1,52.33,53.86,55.51,56.03,53.52,47.67,53.89,52.37,54.74,55.02,56.04
Sweden,Sweden,SWE,9.54,8.6,8.56,7.39,7.56,7.62,6.29,6.28,6.56,5.97,5.53,5.78,5.77,5.72
Switzerland,Switzerland,CHE,18.28,16.98,15.07,13.24,13.33,13.99,12.88,12.64,10.75,11.74,10.73,9.99,10.29,10.04
Tajikistan,Tajikistan,TJK,35.5,37.33,42.7,33.98,36.07,48.11,42.88,44.09,41.36,40.7,39.81,40.09,39.74,39.91
Tanzania,Tanzania,TZA,21.74,21.52,24.38,24.81,26.36,28.16,28.81,27.76,27.12,28.26,27.7,25.23,25.38,24.6
Thailand,Thailand,THA,37.79,35.7,34.53,35.29,35.47,29.95,31.37,33.8,29.41,28.04,30.64,26.88,27.42,27.32
Togo,Togo,TGO,49.31,43.95,51.11,43.66,43.63,43.67,45.35,40.45,40.83,51.07,48.39,46.63,46.38,46.13
Tunisia,Tunisia,TUN,29.58,29.08,34.15,31.8,34.27,31.25,30.51,29.88,32.65,31.14,32.86,29.94,30.73,30.55
